ID,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,MACROSECTOR,INGRESOS_OPERACIONALES_2018,GANANCIA_PERDIDA_2018,TOTAL_ACTIVOS_2018,TOTAL_PASIVOS_2018,TOTAL_PATRIMONIO_2018,INGRESOS_OPERACIONALES_2017,GANANCIA_PERDIDA_2017,TOTAL_ACTIVOS_2017,TOTAL_PASIVOS_2017,TOTAL_PATRIMONIO_2017,GRUPO_EN_NIIF
285,900.072.847,GNE Soluciones S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,499358445,2644378,80220053,32934620,47285433,469926737,1516413,82810739,38155369,44655370,NIIF PLENAS-GRUPO 1
286,890.200.463,GASEOSAS HIPINTO S.A.S,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,PIEDECUESTA-SANTANDER,MANUFACTURA,496396633,18123655,560716528,251409963,309306565,447252589,12709320,539175093,226238827,312936266,NIIF PLENAS-GRUPO 1
287,891.102.723,MECANICOS ASOCIADOS SAS,SUPERSOCIEDADES,Otros,HUILA,NEIVA-HUILA,MINERO-HIDROCARBUROS,495392843,-9927435,375408386,260661093,114747293,340790734,-17603129,320192203,214699405,105492798,NIIF PLENAS-GRUPO 1
288,860.000.261,COMPAÑIA NACIONAL DE LEVADURAS LEVAPAN S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,492290728,2433902,374884775,218985119,155899656,488301223,13238884,381122513,218640865,162481648,NIIF PLENAS-GRUPO 1
289,860.002.590,BRENNTAG COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,492134414,4584556,374361263,277657116,96704147,451950710,3357784,270972408,178852203,92120205,NIIF PLENAS-GRUPO 1
290,830.009.783,CRUZ BLANCA EPS S.A.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,490750120.81,-28121168.64,147832100.61,441533919.62,-293701819.01,519974836.82,-283247061.39,117917053.74,383499403.11,-265582349.37,NIIF PYMES-GRUPO 2
291,891.180.008,CCF HUILA,SUPERSALUD,Otros,HUILA,NEIVA,SERVICIOS,489816220.95,-33719921.13,64944809.51,240249295.77,-175304486.26,417631367.77,-23516861.31,44780257.29,190947491.78,-146167234.49,NIIF PLENAS-GRUPO 1
292,890.300.225,COÉXITO S.A.S.,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,COMERCIO,488306724,16044614,232355989,115172197,117183792,468062122,16467454,223893435,109653261,114240174,NIIF PLENAS-GRUPO 1
293,800.230.447,SODEXO S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,487163441,10821814,121878292,95621205,26257087,472900676,12984699,107658417,92223144,15435273,NIIF PLENAS-GRUPO 1
294,811.028.650,MADECENTRO COLOMBIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,COMERCIO,486369742,26481192,244278994,174778067,69500927,436770629,20585476,199694636,121282376,78412260,NIIF PLENAS-GRUPO 1
295,890.333.023,SIDERURGICA DEL OCCIDENTE SAS SIDOC SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,MANUFACTURA,485547230,28731580,314912780,216204271,98708509,376614263,12677869,303322917,202071308,101251609,NIIF PYMES-GRUPO 2
296,890.900.148,PINTUCO COLOMBIA S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,485280905,7152211,719953251,408669676,311283575,482715690,13379529,678484577,379240634,299243943,NIIF PLENAS-GRUPO 1
297,900.497.906,PUMA ENERGY COLOMBIA COMBUSTIBLES SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,484014170,-5633741,147127489,40517136,106610353,295504511,-8658231,110588678,26889255,83699423,NIIF PLENAS-GRUPO 1
298,830.043.252,Siderurgica Nacional S A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,481971205,5127745,271225665,114960840,156264825,383730025,6889255,279433188,106797952,172635236,NIIF PYMES-GRUPO 2
299,900.519.421,INVERSIONES GREIDINGER ANGEL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,481241479,426403506,549693274,56345599,493347675,2308612,823227,38859433,3101702,35757731,NIIF PYMES-GRUPO 2
300,900.164.755,ZONA FRANCA ARGOS S.A.S. "ZONA FRANCA ARGOS S.A.S. ,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,MANUFACTURA,480546561,61797908,1601108417,125059688,1476048729,472577333,77380616,1611825105,119914665,1491910440,NIIF PLENAS-GRUPO 1
